2.721304,128,128,512,2,2,8,64
2.718281,128,128,512,2,2,16,64
2.641737,128,128,4096,2,2,8,64
2.63484,128,128,4096,2,2,16,64
2.721304,128,256,512,2,2,8,64
2.718561,128,256,512,2,2,16,64
2.641737,128,256,4096,2,2,8,64
2.63484,128,256,4096,2,2,16,64
2.63484,128,384,512,2,2,8,64
2.63484,128,384,512,2,2,16,64
2.63484,128,384,4096,2,2,8,64
2.63484,128,384,4096,2,2,16,64
2.719746,256,128,512,2,2,8,64
2.718281,256,128,512,2,2,16,64
2.641665,256,128,4096,2,2,8,64
2.63484,256,128,4096,2,2,16,64
2.719746,256,256,512,2,2,8,64
2.718931,256,256,512,2,2,16,64
2.641665,256,256,4096,2,2,8,64
2.63484,256,256,4096,2,2,16,64
2.63484,384,128,512,2,2,8,64
2.63484,384,128,512,2,2,16,64
2.63484,384,128,4096,2,2,8,64
2.63484,384,128,4096,2,2,16,64
